"","week","price","cartel","quantity","seas1","seas2","seas3","seas4","seas5","seas6","seas7","seas8","seas9","seas10","seas11","seas12","ice"
"1",1,0.400000005960464,"Cartel",13632,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"2",2,0.400000005960464,"Cartel",20035,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"3",3,0.400000005960464,"Cartel",16319,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"4",4,0.400000005960464,"Cartel",12603,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"5",5,0.400000005960464,"Cartel",23079,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"6",6,0.400000005960464,"Cartel",19652,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"7",7,0.400000005960464,"Cartel",16211,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"8",8,0.400000005960464,"Cartel",22914,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"9",9,0.400000005960464,"Cartel",23710,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"10",10,0.349999994039536,"Cartel",23036,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"11",11,0.349999994039536,"Cartel",38414,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"12",12,0.349999994039536,"Cartel",46906,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"13",13,0.349999994039536,"Cartel",58608,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"14",14,0.349999994039536,"Cartel",51225,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"15",15,0.349999994039536,"Cartel",37339,"0","0","0","1","0","0","0","0","0","0","0","0","Clear Shipping Lanes"
"16",16,0.300000011920929,"Cartel",20298,"0","0","0","1","0","0","0","0","0","0","0","0","Clear Shipping Lanes"
"17",17,0.300000011920929,"Cartel",13699,"0","0","0","0","1","0","0","0","0","0","0","0","Clear Shipping Lanes"
